APPOINTMENT_BOOKING_SUMMARY_ID,DATE,HF_CODE,HF_NAME,STATE,TOTAL_SLOTS,AVAILABLE_SLOTS,ACTIVE,WORKING_DAY,SCHEDULED_ID,SCHEDULED_NAME,SERVICE_CODE,booked,cancelled,noshow,Uptake,Remaining,Stock,UptakePercentage
67b5eb1a0cbee012f5f56b10,3/20/2025,21-01010115,KLINIK KESIHATAN YONG PENG,JOHOR,1,1,TRUE,TRUE,67ac255c1c66da69d7a10dbc,IMUNISASI INFLUENZA WARGA EMAS,GS017,0,0,0,0,1,,0
67ad885f53158407a6dcbc27,3/20/2025,21-01090063,KLINIK KESIHATAN KULAI BESAR,JOHOR,1,17,TRUE,TRUE,67ad85081c66da69d7a11df3,VAKSIN INFLUENZA WARGA EMAS,GS017,0,1,0,0,1,,0
67aec07640024011e5efd490,3/2/2025,21-02020061,KLINIK KESIHATAN LUBUK BUNTAR,KEDAH,1,59,TRUE,TRUE,67ad8c4d1c66da69d7a11f76,Influenza vaccination,GS017,0,2,0,0,1,,0
67ad627d53158407a6dcb659,2/23/2025,21-02080062,KLINIK KESIHATAN LUBUK MERBAU,KEDAH,1,5,TRUE,TRUE,67ad618d53158407a6dcb63f,VACCINE INFLUENZA,GS017,0,1,0,0,1,,0
67ad627d53158407a6dcb65a,2/24/2025,21-02080062,KLINIK KESIHATAN LUBUK MERBAU,KEDAH,1,5,TRUE,TRUE,67ad618d53158407a6dcb63f,VACCINE INFLUENZA,GS017,0,0,0,0,1,,0
67ad627d53158407a6dcb65b,2/25/2025,21-02080062,KLINIK KESIHATAN LUBUK MERBAU,KEDAH,1,5,TRUE,TRUE,67ad618d53158407a6dcb63f,VACCINE INFLUENZA,GS017,0,0,0,0,1,,0
67ad627d53158407a6dcb65c,2/26/2025,21-02080062,KLINIK KESIHATAN LUBUK MERBAU,KEDAH,1,5,TRUE,TRUE,67ad618d53158407a6dcb63f,VACCINE INFLUENZA,GS017,0,0,0,0,1,,0
67ad627d53158407a6dcb65d,3/2/2025,21-02080062,KLINIK KESIHATAN LUBUK MERBAU,KEDAH,1,5,TRUE,TRUE,67ad618d53158407a6dcb63f,VACCINE INFLUENZA,GS017,0,0,0,0,1,,0
67ad627d53158407a6dcb65e,3/3/2025,21-02080062,KLINIK KESIHATAN LUBUK MERBAU,KEDAH,1,5,TRUE,TRUE,67ad618d53158407a6dcb63f,VACCINE INFLUENZA,GS017,0,0,0,0,1,,0
67ad627d53158407a6dcb65f,3/4/2025,21-02080062,KLINIK KESIHATAN LUBUK MERBAU,KEDAH,1,5,TRUE,TRUE,67ad618d53158407a6dcb63f,VACCINE INFLUENZA,GS017,0,0,0,0,1,,0
67ad627d53158407a6dcb660,3/5/2025,21-02080062,KLINIK KESIHATAN LUBUK MERBAU,KEDAH,1,5,TRUE,TRUE,67ad618d53158407a6dcb63f,VACCINE INFLUENZA,GS017,0,0,0,0,1,,0
67ad627d53158407a6dcb661,3/9/2025,21-02080062,KLINIK KESIHATAN LUBUK MERBAU,KEDAH,1,5,TRUE,TRUE,67ad618d53158407a6dcb63f,VACCINE INFLUENZA,GS017,0,0,0,0,1,,0
67ad62b340024011e5efb4f6,3/10/2025,21-02080062,KLINIK KESIHATAN LUBUK MERBAU,KEDAH,1,5,TRUE,TRUE,67ad618d53158407a6dcb63f,VACCINE INFLUENZA,GS017,0,0,0,0,1,,0
67ad62b340024011e5efb4f7,3/11/2025,21-02080062,KLINIK KESIHATAN LUBUK MERBAU,KEDAH,1,5,TRUE,TRUE,67ad618d53158407a6dcb63f,VACCINE INFLUENZA,GS017,0,0,0,0,1,,0
67ad62b340024011e5efb4f8,3/12/2025,21-02080062,KLINIK KESIHATAN LUBUK MERBAU,KEDAH,1,5,TRUE,TRUE,67ad618d53158407a6dcb63f,VACCINE INFLUENZA,GS017,0,0,0,0,1,,0
67b0a3799c30d237f5eff588,3/16/2025,21-02080062,KLINIK KESIHATAN LUBUK MERBAU,KEDAH,1,5,TRUE,TRUE,67ad618d53158407a6dcb63f,VACCINE INFLUENZA,GS017,0,0,0,0,1,,0
67b1c88140024011e5efe85c,3/17/2025,21-02080062,KLINIK KESIHATAN LUBUK MERBAU,KEDAH,1,5,TRUE,TRUE,67ad618d53158407a6dcb63f,VACCINE INFLUENZA,GS017,0,0,0,0,1,,0
67ad7fbf53158407a6dcb8cc,2/23/2025,21-02090079,KLINIK KESIHATAN SUNGAI TIANG,KEDAH,1,2,TRUE,TRUE,67ad7f2453158407a6dcb8c2,Perkhidmatan Imunisasi Influenza bagi Warga Emas,GS017,0,0,0,0,1,,0
67ad7fbf53158407a6dcb8ce,2/25/2025,21-02090079,KLINIK KESIHATAN SUNGAI TIANG,KEDAH,1,2,TRUE,TRUE,67ad7f2453158407a6dcb8c2,Perkhidmatan Imunisasi Influenza bagi Warga Emas,GS017,0,0,0,0,1,,0
67ad7fbf53158407a6dcb8cf,2/26/2025,21-02090079,KLINIK KESIHATAN SUNGAI TIANG,KEDAH,1,2,TRUE,TRUE,67ad7f2453158407a6dcb8c2,Perkhidmatan Imunisasi Influenza bagi Warga Emas,GS017,0,0,0,0,1,,0
67ad7fbf53158407a6dcb8d0,2/27/2025,21-02090079,KLINIK KESIHATAN SUNGAI TIANG,KEDAH,1,2,TRUE,TRUE,67ad7f2453158407a6dcb8c2,Perkhidmatan Imunisasi Influenza bagi Warga Emas,GS017,0,0,0,0,1,,0
